id;company_name;company_website;company_type;primary_phone;description;is_active;created_by;created_at;updated_by;updated_at
1;reciprocal withdrawal;synthesize compressing;Hospital;Island applications paradigm;foreground XSS engage;true;Adaptive Oregon Handcrafted;2021-09-14;programming Avon neural;2021-09-14
2;quantify virtual;Security quantify uniform;Consultant;Account Concrete;methodologies;true;multi-byte Mouse Kitts;2021-09-14;Licensed;2021-09-14
3;index;transitional Multi-layered Hryvnia;Consultant;approach;Mountain;false;Cape Via Interactions;2021-09-14;payment;2021-09-14
4;Agent overriding;payment;Consultant;Small;Automotive Fantastic Ball;false;ubiquitous;2021-09-14;Avon reboot;2021-09-14
5;Cambridgeshire Cotton;wireless COM Licensed;MediaHouse;Rubber Branding Soap;Shoes;true;Hollow matrix;2021-09-13;copying viral bandwidth;2021-09-14
6;Central silver;reinvent Loan;Hospital;hacking;Cheese withdrawal Mouse;true;red SAS;2021-09-14;synthesize alarm Soft;2021-09-14
7;synthesize;revolutionary bus;IT;Oregon Ohio Monaco;Massachusetts Islands;true;Wall Morocco;2021-09-14;Chair vortals SMS;2021-09-13
8;convergence Berkshire Customizable;Buckinghamshire Directives;IT;Carolina Junctions;Iraqi;false;Berkshire;2021-09-14;Supervisor Money Outdoors;2021-09-14
9;Health Configuration;generating Leu implement;IT;models;Liaison Optimized optical;false;Beauty Ball Markets;2021-09-14;Haven;2021-09-14
10;Dynamic Soft;state Bedfordshire exploit;Consultant;Sleek hack Regional;Pants Awesome;true;content;2021-09-14;Practical;2021-09-14
