id;pincode;country;state;city;is_active;created_by;created_at;updated_by;updated_at
1;57899;Denmark;productize networks calculate;New Karl;false;Pants;2021-09-13;Soft Colombia;2021-09-13
2;37975;Liechtenstein;International generating;Port Taniafort;false;Islands Gold harness;2021-09-14;virtual e-commerce Reverse-engineered;2021-09-13
3;25411;Barbados;Bedfordshire;North Sylvester;true;pink;2021-09-14;COM Diverse payment;2021-09-13
4;12922;Swaziland;wireless;Augusta-Richmond County;true;generate Orchestrator analyzer;2021-09-13;Regional Fully-configurable infrastructure;2021-09-14
5;62404;Egypt;Fresh;Port Katharina;false;Plastic Principal;2021-09-13;impactful Pataca turn-key;2021-09-13
6;73983;Niger;Bedfordshire Technician;Port Charlotte;true;auxiliary;2021-09-14;synthesizing Licensed;2021-09-13
7;80578;Algeria;connect Toys Assurance;East Colemanland;false;Producer Refined;2021-09-14;drive copying;2021-09-14
8;69703;New Zealand;Nigeria;North Samir;true;holistic Granite;2021-09-13;Gardens Usability;2021-09-14
9;42817;Guernsey;Investment haptic;Garden Grove;false;approach foreground;2021-09-13;Configuration;2021-09-14
10;18859;Vanuatu;Pike Ameliorated SQL;Largo;true;quantifying payment;2021-09-14;Cameroon Shoes;2021-09-13
