id;field_name;field_label;field_type;is_active;created_by;created_at;updated_by;updated_at
1;Regional;Sausages;Pincode;true;RAM Soap repurpose;2021-09-14;black user-facing;2021-09-14
2;Cambridgeshire;client-driven benchmark;Phone;false;Mouse Trail e-services;2021-09-14;ivory Fresh;2021-09-14
3;Forward Place;Senior Rial;Pincode;false;frictionless;2021-09-13;frame Tasty monitoring;2021-09-14
4;Configuration;compress;Email;false;core;2021-09-14;sensor Ball District;2021-09-14
5;Practical;withdrawal interface;Date;true;system JBOD Product;2021-09-14;Minnesota cross-platform architectures;2021-09-14
6;Knolls Global;Down-sized withdrawal Cambridgeshire;Email;false;Practical access asymmetric;2021-09-13;payment;2021-09-13
7;GB Chair;magenta Bedfordshire;Phone;true;Dynamic;2021-09-13;intelligence;2021-09-14
8;Minnesota Corporate;hacking Bike Industrial;Pincode;true;Assurance iterate pink;2021-09-13;drive Borders Cotton;2021-09-14
9;Berkshire;relationships experiences Gloves;Fraction;true;PNG Gloves;2021-09-14;RAM Developer;2021-09-14
10;Research;Virgin multi-byte Awesome;Date;false;Rwanda Tasty Fantastic;2021-09-14;paradigms;2021-09-14
